month,gpr_qtrly,gprt_qtrly,gpra_qtrly
1/1/1985,114.684516906738,120.362584431966,101.078811645508
4/1/1985,113.324890136719,113.485562642415,113.392758687337
7/1/1985,106.374674479167,101.044807434082,108.969401041667
10/1/1985,99.0870869954427,89.9683837890625,103.354688008626
1/1/1986,110.929150899251,102.272987365723,132.799799601237
4/1/1986,120.665784200033,125.373908996582,125.713605244954
7/1/1986,105.051872253418,103.642115275065,103.522198994954
10/1/1986,98.7730102539063,109.044016520182,81.6599833170573
1/1/1987,95.74462890625,101.923596700033,86.9595616658529
4/1/1987,102.075800577799,104.776268005371,92.0636825561524
7/1/1987,106.669161478678,122.153747558594,91.1353225708008
10/1/1987,102.356152852376,115.33260345459,84.3264592488607
1/1/1988,93.2047297159831,94.4240646362305,85.3398971557617
4/1/1988,101.344037373861,98.1656850179037,102.237998962402
7/1/1988,80.7757670084635,72.4791615804037,87.9676284790039
10/1/1988,77.5491231282552,69.9824981689453,79.2575836181641
1/1/1989,89.5329717000326,85.8112665812175,89.2254079182943
4/1/1989,92.2897186279297,97.4212900797526,77.7723007202149
7/1/1989,93.1587473551432,93.2342910766602,94.3208262125651
10/1/1989,91.6356379191081,80.4769541422526,101.90416208903
1/1/1990,75.514399210612,75.1023178100586,68.6126569112142
4/1/1990,82.5773569742839,89.5465138753255,67.4297765096029
7/1/1990,174.966349283854,232.752001444499,105.68404897054
10/1/1990,151.919514973958,189.591985066732,107.898101806641
1/1/1991,289.075378417969,249.268971761068,380.461680094401
4/1/1991,91.3542887369792,98.6770680745443,79.0206069946289
7/1/1991,115.540631612142,144.069793701172,82.2910435994466
10/1/1991,101.84789276123,126.069056193034,71.428658803304
1/1/1992,91.8194732666016,111.460670471191,62.0032348632813
4/1/1992,86.2242863972982,103.353207906087,60.1888860066732
7/1/1992,77.1505610148112,90.8916397094727,55.8470624287923
10/1/1992,80.8709131876628,92.7510732014974,62.8118133544922
1/1/1993,104.542528788249,116.689737955729,86.5844243367513
4/1/1993,109.215555826823,135.629786173503,74.6432978312175
7/1/1993,103.240414937337,108.766876220703,92.9159698486328
10/1/1993,89.7326278686524,110.834482828776,55.571460723877
1/1/1994,98.0686925252279,113.267138163249,73.7260208129883
4/1/1994,106.725334167481,129.239542643229,74.1883316040039
7/1/1994,98.9219156901042,123.214411417643,64.4826202392578
10/1/1994,92.4769795735677,109.144719441732,72.2704162597656
1/1/1995,79.7581507364909,78.8840840657552,75.8327814737956
4/1/1995,97.2137222290039,103.970425923665,87.8728357950847
7/1/1995,95.2617899576823,102.268707275391,89.927485148112
10/1/1995,69.9156850179037,70.6908162434896,64.7853876749675
1/1/1996,79.4011535644531,79.1756871541341,77.642817179362
4/1/1996,73.1493428548177,67.6502990722656,76.3424250284831
7/1/1996,83.509646097819,81.2296549479167,87.9350306193034
10/1/1996,62.6380259195964,65.0386670430501,55.586420694987
1/1/1997,54.367478688558,54.7084973653158,52.8812675476074
4/1/1997,51.8220418294271,50.8686587015788,49.8309542338054
7/1/1997,46.3232701619466,45.1254603068034,44.6488952636719
10/1/1997,51.1459821065267,62.0293668111165,34.3549575805664
1/1/1998,62.6473274230957,75.7213656107585,44.1241823832194
4/1/1998,73.9263814290365,94.5069847106934,43.5281537373861
7/1/1998,71.1942392985026,72.2139282226563,72.4225616455078
10/1/1998,66.1098225911458,77.4158884684245,50.6266873677572
1/1/1999,68.566961924235,75.4945220947266,57.7115834554037
4/1/1999,90.3498967488607,92.5601018269857,89.2221043904623
7/1/1999,64.8610089619955,69.2140197753906,58.1439819335938
10/1/1999,72.1340967814128,78.4273058573405,66.3765513102214
1/1/2000,59.367172241211,59.4185651143392,57.7163289388021
4/1/2000,64.2944793701172,68.0497576395671,59.1064135233561
7/1/2000,50.3620923360189,56.9847526550293,39.279047648112
10/1/2000,55.6373964945475,57.6380907694499,56.2667694091797
1/1/2001,54.5654067993164,61.3714777628581,46.8789939880371
4/1/2001,61.0033124287923,64.4772555033366,56.0836219787598
7/1/2001,207.942854563395,126.964824676514,322.896155039469
10/1/2001,351.805119832357,179.11355082194,581.931193033854
1/1/2002,156.879760742188,100.6066309611,231.720453898112
4/1/2002,156.716430664063,123.594006856283,208.057540893555
7/1/2002,141.58206431071,123.525622049967,171.534459431966
10/1/2002,168.990412394206,168.346374511719,183.886774698893
1/1/2003,268.252237955729,301.662806193034,273.061457316081
4/1/2003,187.888926188151,164.611757914225,231.789291381836
7/1/2003,130.442039489746,105.920773824056,163.668650309245
10/1/2003,118.623049418132,97.9346516927084,149.390050252279
1/1/2004,122.358545939128,106.652018229167,146.344146728516
4/1/2004,135.985499064128,106.63511912028,181.10341389974
7/1/2004,141.752431233724,126.306363423665,175.207244873047
10/1/2004,117.488469441732,93.6797688802083,148.383026123047
1/1/2005,100.092013041178,90.0650863647461,108.4025293986
4/1/2005,88.787473042806,77.4492746988932,100.393775939941
7/1/2005,128.645746866862,96.4411163330078,170.37609354655
10/1/2005,88.6307245890299,71.1455739339193,110.756792704264
1/1/2006,94.3886108398438,88.9238204956055,100.008750915527
4/1/2006,92.2657826741537,86.7762247721354,96.929204305013
7/1/2006,131.980066935221,128.744405110677,138.681632995606
10/1/2006,97.5069274902344,102.783014933268,88.2513605753581
1/1/2007,93.8086344401042,93.3071034749349,90.8426717122396
4/1/2007,89.0617599487305,79.5364481608073,98.8737589518229
7/1/2007,96.6694412231445,90.4430414835612,106.510553995768
10/1/2007,95.411984761556,99.2933731079102,87.7314529418945
1/1/2008,79.9624760945638,73.6535212198893,84.6616083780924
4/1/2008,77.3423436482748,76.3405939737956,75.0424779256185
7/1/2008,88.9454116821289,80.7021560668946,95.8958002726237
10/1/2008,78.5357335408529,68.4213905334473,93.21373240153
1/1/2009,75.1555913289388,73.4210637410482,76.3772939046224
4/1/2009,85.4929835001628,83.9744033813477,83.7385889689128
7/1/2009,83.2171630859375,81.4362818400065,78.6497929890951
10/1/2009,88.5416920979818,83.962880452474,90.4354349772136
1/1/2010,82.141108194987,79.1053924560547,83.7206751505534
4/1/2010,91.3913294474284,96.7475814819336,79.3714726765951
7/1/2010,77.1812642415365,72.0281499226888,79.7749201456706
10/1/2010,85.9670003255208,87.0610033671061,83.7325083414714
1/1/2011,102.108136494954,97.9162114461263,107.257886250814
4/1/2011,93.5848439534505,79.940315246582,111.347867329915
7/1/2011,83.0755920410156,64.3768043518067,103.292752583822
10/1/2011,81.6129786173503,82.8845723470052,79.9766108194987
1/1/2012,86.9469248453776,95.2245254516602,75.5084266662598
4/1/2012,84.0034255981445,84.2626113891602,79.4342168172201
7/1/2012,75.6556294759115,72.9094161987305,78.3278935750326
10/1/2012,79.2949549357096,72.0349985758464,86.6859766642253
1/1/2013,82.714848836263,81.2123209635417,88.0014343261719
4/1/2013,87.2660649617513,84.5576858520508,90.7781829833985
7/1/2013,88.4639638264974,84.2269999186198,93.27281443278
10/1/2013,73.7015431722005,76.0317179361979,65.9863777160645
1/1/2014,88.9193496704102,98.4780654907227,72.0981140136719
4/1/2014,91.8058344523112,100.053883870443,81.4129168192546
7/1/2014,135.58539835612,154.901326497396,117.147748311361
10/1/2014,84.8557586669922,85.358871459961,83.2562764485677
1/1/2015,109.38188680013,106.40594736735,114.921076456706
4/1/2015,88.1195958455404,89.6411819458008,85.5792566935221
7/1/2015,96.0182164510091,107.355583190918,79.8474884033203
10/1/2015,130.294881184896,102.664889017741,175.713068644206
1/1/2016,110.5603612264,104.529365539551,118.29308573405
4/1/2016,87.9073333740235,81.9322230021159,95.8733393351237
7/1/2016,105.964721679688,91.676035563151,129.250979105632
10/1/2016,90.2823359171549,84.9367853800456,99.4207331339518
1/1/2017,105.34782409668,109.926701863607,98.6657740275065
4/1/2017,116.276301066081,114.323206583659,118.148434956869
7/1/2017,118.959841410319,142.589068094889,88.1624247233073
10/1/2017,88.9252802530925,103.027676900228,70.6434504191081
1/1/2018,89.6268183390299,109.751502990723,64.0753593444824
4/1/2018,117.632893880208,151.878941853841,71.388064066569
7/1/2018,99.2746734619141,120.946685791016,68.0493265787761
10/1/2018,87.6772435506185,108.813901265462,58.264523824056
1/1/2019,88.8508529663086,110.542490641276,59.9621378580729
4/1/2019,97.4379348754883,124.36046854655,58.5332018534343
7/1/2019,95.7645543416341,120.842381795247,61.7755114237468
10/1/2019,81.7316691080729,95.3363723754883,62.1101557413737
1/1/2020,98.6388448079427,125.032295227051,67.0799929300944
4/1/2020,69.6914927164714,83.6609649658203,46.5492261250814
7/1/2020,70.7722371419271,93.3349126180013,38.0749308268229
10/1/2020,70.0726420084636,87.8347676595052,45.5799388885498
1/1/2021,76.6647567749024,97.9370676676432,48.0107688903809
4/1/2021,85.1001586914063,107.638781229655,55.6161829630534
7/1/2021,76.2014287312826,86.4284083048503,65.0463218688965
10/1/2021,90.3146006266276,123.539746602376,49.5155792236328
1/1/2022,224.596308390299,307.935668945313,139.808564503988
4/1/2022,154.702967325846,183.020690917969,146.456616719564
7/1/2022,127.341952006022,156.979253133138,105.875127156576
10/1/2022,123.691546122233,149.156461079915,107.043284098307
1/1/2023,110.213798522949,128.385785420736,94.8042449951172
4/1/2023,108.602094014486,123.348284403483,93.7622528076172
7/1/2023,102.408259073893,122.356793721517,81.2796579996745
10/1/2023,165.620869954427,161.570933024089,195.107381184896
1/1/2024,146.658727010091,134.206815083822,177.016464233398
4/1/2024,135.713205973307,142.619384765625,136.013343811035
7/1/2024,121.100257873535,117.880663553874,131.807665506999
10/1/2024,133.768513997396,131.707784016927,144.866015116374
1/1/2025,140.459803263346,148.206731160482,135.654426574707
4/1/2025,175.281504313151,215.526392618815,152.23371887207
7/1/2025,135.493270874023,157.503227233887,120.823177337647
