Date,h1_qtrly,h3_qtrly,h12_qtrly
7/1960,0.637188835982201,0.761154790597069,0.871536134950105
10/1960,0.657585516144436,0.779127333805502,0.881714871309151
1/1961,0.654804003630067,0.779171873061972,0.883940752546066
4/1961,0.637845569750455,0.763762920499065,0.874619070072405
7/1961,0.616080563970446,0.745942697660824,0.863423639674696
10/1961,0.604214334674491,0.734732158773348,0.853073802802317
1/1962,0.588252476019167,0.720830090143737,0.843833339542172
4/1962,0.571260882937028,0.704449755468202,0.832678074024652
7/1962,0.558364875722562,0.687862391472798,0.819452649454843
10/1962,0.547259601048376,0.673051539123219,0.8073185564027
1/1963,0.540060812547227,0.662860450116208,0.800239120659112
4/1963,0.532866775197163,0.657126233671132,0.798099417406312
7/1963,0.538016067730824,0.660439800416952,0.798252860137219
10/1963,0.542299524873755,0.661898772790751,0.797061884835572
1/1964,0.544041412037087,0.66377886240098,0.799363427188103
4/1964,0.568872126909801,0.687281066405374,0.81145133481195
7/1964,0.580959175485969,0.701820758068119,0.820382618786057
10/1964,0.584949964871816,0.705674506434691,0.821151789013613
1/1965,0.558182682130676,0.68398087783429,0.812154312304998
4/1965,0.547780164339525,0.674057262701229,0.808169277105275
7/1965,0.552905206844462,0.67993214988753,0.81300049204531
10/1965,0.566284037721828,0.692610660716666,0.822110755634817
1/1966,0.580016021710836,0.707302790327847,0.832974016321215
4/1966,0.592399480304865,0.718366156331302,0.841495832279269
7/1966,0.601000270295318,0.726483301934509,0.847742560346617
10/1966,0.604437672260437,0.728767747562924,0.850645700550433
1/1967,0.607530913557777,0.733490683164062,0.856020281348212
4/1967,0.609960282194163,0.737090426550692,0.860621975466581
7/1967,0.630528604184625,0.756387250889538,0.870014377495305
10/1967,0.631623478719707,0.757226638950483,0.870621469309389
1/1968,0.619147677453614,0.746078710791457,0.865487072583921
4/1968,0.593944442605061,0.724277666667245,0.857058433993584
7/1968,0.588396015827686,0.721129071415071,0.857428534922324
10/1968,0.597927762244366,0.73468502051586,0.870283144843652
1/1969,0.610938746350843,0.752101550203826,0.885603985988205
4/1969,0.620911119502543,0.763838987957212,0.89605700866147
7/1969,0.639289027187132,0.779918260320376,0.9039774501343
10/1969,0.654860185646773,0.794599563958973,0.911143764746142
1/1970,0.665522794935699,0.804867017341105,0.914690677097439
4/1970,0.681871219460945,0.816285872782771,0.915440445480977
7/1970,0.688585380433034,0.819386768629259,0.913401345644685
10/1970,0.675536594032038,0.806195454760699,0.907310600725847
1/1971,0.64996516957405,0.780927596778667,0.896342893423338
4/1971,0.625136127961107,0.757846114873917,0.885940392932867
7/1971,0.632742988977718,0.76206901097248,0.885342656267793
10/1971,0.613272005920855,0.747290301134759,0.878945532482399
1/1972,0.61140895933091,0.745412734704229,0.876888964045012
4/1972,0.611122818742099,0.747067688205677,0.879205533639151
7/1972,0.639563442812816,0.777179510306183,0.897308268188462
10/1972,0.663246196251055,0.807947912798696,0.92227810553939
1/1973,0.70168211153027,0.857119333498789,0.960288384037053
4/1973,0.74416587513065,0.905229678425269,0.995909024155595
7/1973,0.779167143903555,0.9381566218957,1.01743562010835
10/1973,0.787092052102122,0.941013587070728,1.01943868045509
1/1974,0.78401246012703,0.939737295674729,1.02058657599832
4/1974,0.795973247414443,0.952739726577188,1.02571952570382
7/1974,0.821727740732531,0.972302928762115,1.02825105788027
10/1974,0.820248113599929,0.962434005706801,1.01424094567547
1/1975,0.796192982380092,0.928797525342576,0.988599855342524
4/1975,0.732718383666567,0.865893209170388,0.954249937391229
7/1975,0.692387836534667,0.823361542486012,0.928783136906247
10/1975,0.646734607292944,0.780489003550995,0.906213524943852
1/1976,0.621893673285284,0.754637574726828,0.890447116701419
4/1976,0.608770819368324,0.739820862652065,0.880023658017132
7/1976,0.61508050404701,0.743273186706903,0.877898162336207
10/1976,0.61206088664376,0.740530440126179,0.875290808166716
1/1977,0.5944641430202,0.724629443398839,0.868282877751606
4/1977,0.579769153327181,0.711856925144192,0.863109567695508
7/1977,0.603210021703819,0.730297762124856,0.870162920201534
10/1977,0.624513852347675,0.751235312909414,0.88058657050503
1/1978,0.6282200531048,0.759635279868152,0.89024821869574
4/1978,0.612317779191134,0.754698348383197,0.897750914231853
7/1978,0.617713476580691,0.763907407779237,0.908903933093432
10/1978,0.660893639460277,0.802199223287256,0.931002227405624
1/1979,0.697723442269562,0.836815413803068,0.955430638590109
4/1979,0.732963088451744,0.877776926678158,0.991654175603975
7/1979,0.761767824062006,0.920350524630616,1.0323285784432
10/1979,0.847412774056875,1.01460860078413,1.09477802442435
1/1980,0.902133329792525,1.07455427142457,1.1314567388805
4/1980,0.918666962911667,1.09187811916252,1.14290501510089
7/1980,0.876383300426661,1.05309386770208,1.12718234196057
10/1980,0.849123867694248,1.02648334750026,1.11791263595645
1/1981,0.838042875428622,1.01645777601457,1.11575018201011
4/1981,0.836985513251623,1.0129017083331,1.10944183432589
7/1981,0.853533672665115,1.02014375037731,1.10189989106234
10/1981,0.851016347850749,1.01266377912306,1.08880236780461
1/1982,0.837975563062243,0.994854200100519,1.07295215689974
4/1982,0.802294504053728,0.960356212264086,1.050940423923
7/1982,0.784435479588251,0.933607025402003,1.02466407859234
10/1982,0.751550538965254,0.89369075655701,0.991635975485301
1/1983,0.71335687979432,0.849847826568096,0.959541694026052
4/1983,0.666749607063558,0.803239139109743,0.931941504607982
7/1983,0.644404867694218,0.779131241673953,0.916016428918994
10/1983,0.625997376516558,0.761546150759777,0.907387782768137
1/1984,0.620224522429335,0.757910525825279,0.90924233840548
4/1984,0.616814745182506,0.756678703190775,0.914680218214703
7/1984,0.622598753132873,0.763783032947706,0.922693101755418
10/1984,0.629665721387678,0.770693876125695,0.928261949863277
1/1985,0.624297490296298,0.765858661836445,0.925078533213378
4/1985,0.623701107926558,0.764434527033554,0.921222693187972
7/1985,0.631527547622967,0.772710763783275,0.92289216581142
10/1985,0.652445542736601,0.79382886089847,0.931922545743599
1/1986,0.661268439965132,0.803263253074518,0.935724724263247
4/1986,0.657065740964578,0.798171852908046,0.929747351077748
7/1986,0.66101859895976,0.800183629496332,0.927658285630004
10/1986,0.652243291518799,0.790134976772014,0.921222846346436
1/1987,0.634712218483535,0.77403930051505,0.913497118785326
4/1987,0.6178917728806,0.758650123336156,0.905023992227033
7/1987,0.618828684432828,0.760368245260496,0.906067564761626
10/1987,0.61532955703194,0.757160023933921,0.905573045398145
1/1988,0.593739713767824,0.735559454204062,0.89669217952276
4/1988,0.575749869813728,0.716555091992119,0.887007463993244
7/1988,0.588650155905365,0.724749471861488,0.887401116766124
10/1988,0.60613720677782,0.741474597407967,0.894595416011891
1/1989,0.625833746015217,0.761153205940649,0.904220386854898
4/1989,0.623195647983574,0.762075263105468,0.90555239727615
7/1989,0.643498649239053,0.778530514391339,0.909179554171742
10/1989,0.6497706169847,0.784934227825898,0.909500128012015
1/1990,0.660200609836434,0.796892911648201,0.916480384155773
4/1990,0.654607946678141,0.797626997740667,0.922050165118637
7/1990,0.665137683092109,0.808346888943135,0.929701119360212
10/1990,0.662327544444756,0.802512074819672,0.926266929198765
1/1991,0.638807489558999,0.774977471789934,0.909465769744386
4/1991,0.601502603378202,0.737984875911925,0.889318010209628
7/1991,0.583034356045795,0.720879783206123,0.879524515888343
10/1991,0.575427056884356,0.714116546326531,0.876420304289571
1/1992,0.575324854315006,0.711571705647412,0.874208303192495
4/1992,0.574435951382995,0.706714046258573,0.870819733333583
7/1992,0.577682201232237,0.703844452397022,0.86644430743588
10/1992,0.573065200154547,0.697899503587343,0.860600441247849
1/1993,0.555865152712158,0.682173478224188,0.850122883983056
4/1993,0.542306481899043,0.673302928106428,0.845953525316883
7/1993,0.549577985397714,0.678306112765296,0.848897373695237
10/1993,0.55813911964758,0.687870111804272,0.857218721920524
1/1994,0.558008176580292,0.689630829014561,0.860802659915975
4/1994,0.547345078248682,0.684006230289528,0.861641752325022
7/1994,0.546838314381119,0.684011137872751,0.862230989827843
10/1994,0.554114061149092,0.689727151740709,0.865186099955121
1/1995,0.556835518729018,0.692176081383833,0.865049656807937
4/1995,0.557034501135036,0.692237347938062,0.862776213242393
7/1995,0.567735123623058,0.702594507607183,0.864981670653813
10/1995,0.575092734951894,0.709337395420883,0.866881612854806
1/1996,0.573013653878455,0.707299261490417,0.865401382469982
4/1996,0.555915436182396,0.691523151256931,0.858484211880355
7/1996,0.545669381514718,0.681679406437559,0.853555859297416
10/1996,0.545405015176949,0.680331471462199,0.851602043640015
1/1997,0.546741769471902,0.680550966114008,0.849867220598743
4/1997,0.549050417377089,0.681474114977007,0.848337932711231
7/1997,0.554096562309846,0.685849729976768,0.849664811369896
10/1997,0.561990692142775,0.694176124623599,0.853400934919936
1/1998,0.580661936328663,0.714937717896428,0.864754260549857
4/1998,0.596272422719295,0.733960987289684,0.879831868663579
7/1998,0.603491285692756,0.743565768328854,0.890012467509441
10/1998,0.598567410857458,0.74130457335675,0.893513821235377
1/1999,0.589061558964861,0.733356497380201,0.890946092080764
4/1999,0.589134267727598,0.734747796183273,0.893622887302022
7/1999,0.603864241488736,0.745634845737179,0.89833631523477
10/1999,0.632267316162116,0.771954703479578,0.911410360107528
1/2000,0.657233983116458,0.79575092403219,0.923462787957835
4/2000,0.667461379849611,0.809698662221426,0.93335756585175
7/2000,0.67534958735424,0.819008566014771,0.939789774021914
10/2000,0.679910498534505,0.8236433453786,0.94119706776772
1/2001,0.690249413344464,0.830421222118136,0.940791863060833
4/2001,0.716355499794864,0.848195496780306,0.940207893241176
7/2001,0.716806829096665,0.843844698671082,0.931617302126138
10/2001,0.689873468065503,0.817222492327926,0.916262646424318
1/2002,0.634012351303709,0.767497867562395,0.894288869245741
4/2002,0.604631626395977,0.742589407876737,0.885184404358721
7/2002,0.610658441896939,0.749819144505637,0.890686280818557
10/2002,0.630369358656703,0.771682618770302,0.904731584023888
1/2003,0.64230789875322,0.783915818953629,0.913016688003529
4/2003,0.637356775326013,0.777083045689287,0.908482338687628
7/2003,0.615542187666157,0.751700775978387,0.892821188413755
10/2003,0.603977609676733,0.738668477351818,0.884592145645028
1/2004,0.597359994550482,0.734082821264967,0.883994351475762
4/2004,0.602434614930656,0.741625719495619,0.889276223845362
7/2004,0.619872042818192,0.755857832465402,0.89433610349284
10/2004,0.627673051197563,0.764494363153195,0.898052097584949
1/2005,0.646046672280157,0.783120369311292,0.906703796835139
4/2005,0.67236562674012,0.814505707747495,0.921754729213044
7/2005,0.691384898756245,0.83445891504737,0.930141180056346
10/2005,0.688274988345175,0.832173448098064,0.928715129630645
1/2006,0.662074834114253,0.805698400143882,0.9162754398952
4/2006,0.653247713690904,0.795683688179426,0.91038133796445
7/2006,0.649933268156905,0.790726029196149,0.907329739425151
10/2006,0.640368733970023,0.779621785846326,0.9026047007011
1/2007,0.628650502869187,0.769038026139385,0.902504757691332
4/2007,0.636229512865963,0.778409841948822,0.91340508372677
7/2007,0.661826989380492,0.80826056821252,0.937535464928654
10/2007,0.70461079723688,0.850280421071345,0.963735728343823
1/2008,0.770544790465633,0.91346400860563,0.996275234486464
4/2008,0.901191490876216,1.03476292677614,1.04727323543859
7/2008,1.00071299682481,1.12852170210117,1.08444361752027
10/2008,1.01561741762815,1.14379556226318,1.08660559026249
1/2009,0.937082220949958,1.06844504017971,1.04812941336451
4/2009,0.841189939933841,0.975959766625942,1.00183616189163
7/2009,0.783748226694898,0.916329909350181,0.969422706358949
10/2009,0.731597578505375,0.864014100669298,0.943650056325318
1/2010,0.690819729536856,0.823922235565098,0.92458729225978
4/2010,0.648924316438062,0.784832033649327,0.906242558162534
7/2010,0.62523227732528,0.760613698521541,0.892881473730204
10/2010,0.620914387067746,0.754718474651474,0.888194739985644
1/2011,0.627088149772003,0.758552719224367,0.888285656630521
4/2011,0.623873275003928,0.757584564382541,0.887449123485136
7/2011,0.613289247725468,0.747818553229336,0.88066630555188
10/2011,0.593243843491918,0.729602314397545,0.870219834629745
1/2012,0.579502276383289,0.716328140829609,0.862324302269906
4/2012,0.575454123219483,0.711745522749689,0.858618077066078
7/2012,0.583992191627147,0.716513118428521,0.859457306446287
10/2012,0.576446372099937,0.710737315789542,0.858650915604645
1/2013,0.565066467171878,0.700909354098785,0.85642638555379
4/2013,0.546010029644157,0.684886985646689,0.850302012312635
7/2013,0.546097755692401,0.681397081086781,0.845741378491825
10/2013,0.541440524634974,0.675601979442905,0.841144507755345
1/2014,0.544499502176466,0.678445688238087,0.842958084616804
4/2014,0.555583808894914,0.691571390443442,0.852622445059506
7/2014,0.597062269150162,0.734844074031446,0.877917316545044
10/2014,0.633520578427406,0.772807361508463,0.900547134533746
1/2015,0.645424856590713,0.786894503189259,0.911387488027589
4/2015,0.63226974701025,0.775305379409346,0.907260994117441
7/2015,0.627409772481994,0.768312908501665,0.902135639932997
10/2015,0.621716425878263,0.761127002771506,0.897071323558041
1/2016,0.609190107208845,0.748522073942278,0.891527001505194
4/2016,0.587378601174098,0.729674641729815,0.885307696926796
7/2016,0.582340986651458,0.723919423248189,0.882699851410536
10/2016,0.583191132482748,0.722845725538253,0.880566430926178
1/2017,0.582881442321164,0.721960053467543,0.877458895421764
4/2017,0.582338673467711,0.72085432844522,0.873483029875148
7/2017,0.583098163289818,0.720489192776766,0.871585936236618
10/2017,0.586243322007122,0.720858978996061,0.870729338381739
1/2018,0.580163313864188,0.714905154397193,0.868929592964774
4/2018,0.577371836402105,0.714412616673814,0.870010849204128
7/2018,0.588393363302969,0.727259577362411,0.876920325267523
10/2018,0.6050209053164,0.744319388010592,0.886320076215995
1/2019,0.622583654334227,0.761653488620519,0.897697579718663
4/2019,0.645476782482802,0.784900664695009,0.914429785190639
7/2019,0.722654203699673,0.859139400618818,0.955912165693122
10/2019,0.912632014883919,1.02925374734414,1.03460582823509
1/2020,1.05315886108863,1.15045706096728,1.08637293385706
4/2020,1.06862849164883,1.16168519928745,1.08661893533545
7/2020,0.956554966028788,1.06115358629882,1.03787412114758
10/2020,0.871091600725488,0.987877405515753,1.00358672031586
1/2021,0.837727520410487,0.95798884075925,0.989702785905844
4/2021,0.810074039022122,0.935981143597117,0.982805864052146
7/2021,0.795329542463493,0.926652391856191,0.983511843421373
10/2021,0.802177039588504,0.938782661875075,0.996383824841704
1/2022,0.823060125890114,0.96453645282942,1.01646238565207
4/2022,0.811495357184333,0.959553078315376,1.0234571489571
7/2022,0.796279988334786,0.943843816456678,1.01713851219829
10/2022,0.752035866769459,0.900405493525912,0.993995224166255
1/2023,0.718369630428217,0.865734794241608,0.97064124843225
4/2023,0.68340115235981,0.834334798603028,0.953502233346055
7/2023,0.67139277831658,0.819481387615229,0.943247741095864
10/2023,0.661809968072081,0.807864516421298,0.934834133910978
1/2024,0.658574751442847,0.801749187084203,0.929462187860058
4/2024,0.64337357548526,0.787704789790473,0.921094620044787
